,ite,cost,hyperparameter,repetition
169,169000,3064.172079736375,41.5_1.1,9
170,170000,3086.897325329014,41.5_1.1,9
171,171000,3024.628612033845,41.5_1.1,9
172,172000,3044.5649064289264,41.5_1.1,9
173,173000,3316.140794393381,41.5_1.1,9
174,174000,3043.485829353942,41.5_1.1,9
175,175000,3109.4333563299288,41.5_1.1,9
176,176000,3107.8528495022024,41.5_1.1,9
177,177000,3105.47435335146,41.5_1.1,9
178,178000,3105.459046703062,41.5_1.1,9
179,179000,3049.818882447326,41.5_1.1,9
180,180000,3086.408409466032,41.5_1.1,9
181,181000,3151.5195180934193,41.5_1.1,9
182,182000,3247.480906699829,41.5_1.1,9
183,183000,3104.0916006258917,41.5_1.1,9
184,184000,3077.914732785267,41.5_1.1,9
185,185000,3021.315424205103,41.5_1.1,9
186,186000,3117.0517940580667,41.5_1.1,9
187,187000,2924.0181784770216,41.5_1.1,9
188,188000,3196.59540638607,41.5_1.1,9
189,189000,3067.938192931694,41.5_1.1,9
190,190000,3169.3112743933516,41.5_1.1,9
191,191000,3207.3734591593793,41.5_1.1,9
192,192000,3023.555894404182,41.5_1.1,9
193,193000,3011.33949291216,41.5_1.1,9
194,194000,3063.025869257901,41.5_1.1,9
195,195000,3177.423190773491,41.5_1.1,9
196,196000,3185.4851489587195,41.5_1.1,9
197,197000,3057.0525454298636,41.5_1.1,9
198,198000,3092.660940272516,41.5_1.1,9
199,199000,3009.5023241041076,41.5_1.1,9
200,200000,3093.1978665128763,41.5_1.1,9
201,201000,3115.2616755243907,41.5_1.1,9
202,202000,3093.5882665115605,41.5_1.1,9
203,203000,3160.9361308775196,41.5_1.1,9
204,204000,2987.930854986945,41.5_1.1,9
205,205000,3206.513316832144,41.5_1.1,9
206,206000,3151.1342995333353,41.5_1.1,9
207,207000,3040.746542263771,41.5_1.1,9
208,208000,3055.2027996929173,41.5_1.1,9
209,209000,3012.4033327224065,41.5_1.1,9
210,210000,3147.1019228859855,41.5_1.1,9
211,211000,3056.06654288134,41.5_1.1,9
212,212000,3007.3724567451914,41.5_1.1,9
213,213000,3102.767647221776,41.5_1.1,9
214,214000,3101.5150760009415,41.5_1.1,9
215,215000,3040.4068729636747,41.5_1.1,9
216,216000,3021.728270113592,41.5_1.1,9
