num_s,area,repetition,s_method
1369,1.5544192841490139,3,LHS
1444,1.6731301939058172,3,LHS
1521,1.4832347140039448,3,LHS
1600,1.57,3,LHS
1681,1.6371207614515169,3,LHS
1764,1.5419501133786848,3,LHS
1849,1.5835586803677664,3,LHS
1936,1.4462809917355373,3,LHS
2025,1.4775308641975309,3,LHS
2116,1.5122873345935728,3,LHS
2209,1.4848347668628339,3,LHS
2304,1.6944444444444444,3,LHS
2401,1.6259891711786756,3,LHS
2500,1.4976,3,LHS
2601,1.611687812379854,3,LHS
2704,1.467455621301775,3,LHS
2809,1.55500177999288,3,LHS
2916,1.5582990397805212,3,LHS
3025,1.5709090909090908,3,LHS
3136,1.5357142857142858,3,LHS
3249,1.551246537396122,3,LHS
3364,1.5648038049940547,3,LHS
3481,1.4478598103993106,3,LHS
3600,1.4444444444444444,3,LHS
3721,1.5651706530502554,3,LHS
3844,1.614984391259105,3,LHS
3969,1.6487780297304107,3,LHS
4096,1.5390625,3,LHS
4225,1.6624852071005918,3,LHS
4356,1.4912764003673094,3,LHS
4489,1.5575852082869235,3,LHS
4624,1.4878892733564013,3,LHS
4761,1.6164671287544634,3,LHS
4900,1.5346938775510204,3,LHS
5041,1.504463400119024,3,LHS
5184,1.5308641975308641,3,LHS
5329,1.5312441358603865,3,LHS
5476,1.5807158509861212,3,LHS
5625,1.490488888888889,3,LHS
5776,1.6204986149584488,3,LHS
5929,1.6110642604149097,3,LHS
6084,1.5121630506245891,3,LHS
6241,1.563851946803397,3,LHS
6400,1.63,3,LHS
6561,1.577808260935833,3,LHS
6724,1.6014277215942891,3,LHS
6889,1.5444912178835826,3,LHS
7056,1.5351473922902494,3,LHS
7225,1.488166089965398,3,LHS
7396,1.5532720389399675,3,LHS
7569,1.576958647113225,3,LHS
7744,1.5702479338842976,3,LHS
7921,1.579598535538442,3,LHS
8100,1.522962962962963,3,LHS
100,1.44,3,OS
121,1.322314049586777,3,OS
144,1.6666666666666667,3,OS
169,1.9881656804733727,3,OS
196,1.7142857142857142,3,OS
225,1.4933333333333334,3,OS
256,1.6875,3,OS
289,1.439446366782007,3,OS
324,1.4814814814814814,3,OS
361,1.5955678670360112,3,OS
400,1.6,3,OS
441,1.560090702947846,3,OS
484,1.5206611570247934,3,OS
529,1.5727788279773156,3,OS
576,1.6111111111111112,3,OS
625,1.5872,3,OS
676,1.5384615384615385,3,OS
729,1.5363511659807956,3,OS
784,1.653061224489796,3,OS
841,1.6171224732461356,3,OS
900,1.511111111111111,3,OS
961,1.5150884495317378,3,OS
1024,1.515625,3,OS
1089,1.5133149678604223,3,OS
1156,1.508650519031142,3,OS
1225,1.5542857142857143,3,OS
1296,1.5308641975308641,3,OS
1369,1.5427319211102994,3,OS
1444,1.5734072022160666,3,OS
1521,1.5673898750821829,3,OS
1600,1.52,3,OS
1681,1.5133848899464604,3,OS
1764,1.560090702947846,3,OS
1849,1.5143320713899404,3,OS
1936,1.578512396694215,3,OS
2025,1.5644444444444445,3,OS
2116,1.5727788279773156,3,OS
2209,1.535536441828882,3,OS
2304,1.4861111111111112,3,OS
2401,1.5260308204914619,3,OS
2500,1.5488,3,OS
2601,1.562475970780469,3,OS
2704,1.5207100591715976,3,OS
2809,1.515129939480242,3,OS
2916,1.5198902606310014,3,OS
3025,1.5021487603305785,3,OS
3136,1.5510204081632653,3,OS
3249,1.5216989843028623,3,OS
3364,1.5315101070154578,3,OS
3481,1.5581729388106866,3,OS
3600,1.5466666666666666,3,OS
3721,1.5350712174146735,3,OS
3844,1.5983350676378771,3,OS
3969,1.5479969765684052,3,OS
4096,1.5703125,3,OS
4225,1.5223668639053254,3,OS
4356,1.5280073461891643,3,OS
4489,1.5397638672310092,3,OS
4624,1.5536332179930796,3,OS
4761,1.5358118042428062,3,OS
4900,1.5608163265306123,3,OS
5041,1.5362031342987503,3,OS
5184,1.5679012345679013,3,OS
5329,1.5522612122349408,3,OS
5476,1.5573411249086926,3,OS
5625,1.5644444444444445,3,OS
5776,1.5429362880886426,3,OS
5929,1.5462978579861697,3,OS
6084,1.5463510848126232,3,OS
6241,1.5561608716551836,3,OS
6400,1.5325,3,OS
6561,1.5436671239140376,3,OS
6724,1.537180249851279,3,OS
6889,1.5491363042531572,3,OS
7056,1.5238095238095237,3,OS
7225,1.5501730103806228,3,OS
7396,1.5554353704705246,3,OS
7569,1.551592020081913,3,OS
7744,1.524793388429752,3,OS
7921,1.5553591718217397,3,OS
8100,1.5348148148148149,3,OS
100,1.28,4,MC
121,1.1900826446280992,4,MC
144,2.111111111111111,4,MC
169,1.7988165680473374,4,MC
196,1.6326530612244898,4,MC
225,1.4222222222222223,4,MC
256,1.625,4,MC
289,1.328719723183391,4,MC
324,1.2839506172839505,4,MC
361,1.817174515235457,4,MC
400,1.76,4,MC
441,1.3061224489795917,4,MC
484,1.421487603305785,4,MC
529,1.5122873345935728,4,MC
576,1.5833333333333333,4,MC
625,1.4336,4,MC
676,1.4911242603550297,4,MC
729,1.448559670781893,4,MC
784,1.4489795918367347,4,MC
841,1.826397146254459,4,MC
900,1.6355555555555557,4,MC
961,1.6815816857440167,4,MC
1024,1.4375,4,MC
1089,1.5280073461891643,4,MC
1156,1.467128027681661,4,MC
1225,1.750204081632653,4,MC
1296,1.5432098765432098,4,MC
1369,1.5193571950328708,4,MC
1444,1.551246537396122,4,MC
1521,1.5253122945430637,4,MC
1600,1.46,4,MC
1681,1.5990481856038072,4,MC
1764,1.6780045351473922,4,MC
1849,1.7047052460789616,4,MC
1936,1.8181818181818181,4,MC
2025,1.5565432098765433,4,MC
2116,1.550094517958412,4,MC
2209,1.5862381167949298,4,MC
2304,1.5069444444444444,4,MC
2401,1.4327363598500624,4,MC
2500,1.7024,4,MC
2601,1.5686274509803921,4,MC
2704,1.532544378698225,4,MC
2809,1.429690281238875,4,MC
2916,1.4375857338820301,4,MC
3025,1.6978512396694214,4,MC
3136,1.5510204081632653,4,MC
3249,1.4823022468451832,4,MC
3364,1.4839476813317478,4,MC
3481,1.5903476012640045,4,MC
3600,1.4177777777777778,4,MC
3721,1.681268476216071,4,MC
3844,1.4360041623309052,4,MC
3969,1.5318720080624844,4,MC
4096,1.46484375,4,MC
4225,1.4996449704142012,4,MC
4356,1.5647382920110193,4,MC
4489,1.5860993539763868,4,MC
4624,1.4359861591695502,4,MC
4761,1.4349926486032347,4,MC
4900,1.5151020408163265,4,MC
5041,1.5615949216425313,4,MC
5184,1.5802469135802468,4,MC
5329,1.6363295177331583,4,MC
5476,1.560262965668371,4,MC
5625,1.536,4,MC
5776,1.5844875346260388,4,MC
5929,1.5894754596053298,4,MC
6084,1.4174884944115713,4,MC
6241,1.5894888639641083,4,MC
6400,1.485,4,MC
6561,1.626581313824112,4,MC
6724,1.4919690660321236,4,MC
6889,1.5700391929162434,4,MC
7056,1.5464852607709751,4,MC
7225,1.530242214532872,4,MC
7396,1.52947539210384,4,MC
7569,1.5283392786365437,4,MC
7744,1.603305785123967,4,MC
7921,1.549299330892564,4,MC
8100,1.5664197530864197,4,MC
100,1.44,4,LHS
121,2.2479338842975207,4,LHS
144,1.3333333333333333,4,LHS
169,1.514792899408284,4,LHS
196,2.2857142857142856,4,LHS
225,1.4222222222222223,4,LHS
256,1.5625,4,LHS
289,1.6055363321799307,4,LHS
324,1.382716049382716,4,LHS
361,1.6398891966759004,4,LHS
400,1.68,4,LHS
441,1.5238095238095237,4,LHS
484,1.6198347107438016,4,LHS
529,1.6030245746691871,4,LHS
576,1.4166666666666667,4,LHS
625,1.6384,4,LHS
676,1.4911242603550297,4,LHS
729,1.5582990397805212,4,LHS
784,1.2040816326530612,4,LHS
841,1.44589774078478,4,LHS
900,1.528888888888889,4,LHS
961,1.6482830385015608,4,LHS
1024,1.921875,4,LHS
1089,1.660238751147842,4,LHS
1156,1.411764705882353,4,LHS
1225,1.5673469387755101,4,LHS
1296,1.691358024691358,4,LHS
1369,1.5894813732651571,4,LHS
1444,1.5734072022160666,4,LHS
1521,1.514792899408284,4,LHS
1600,1.51,4,LHS
1681,1.6371207614515169,4,LHS
1764,1.5238095238095237,4,LHS
1849,1.5229853975121688,4,LHS
1936,1.462809917355372,4,LHS
2025,1.4933333333333334,4,LHS
2116,1.610586011342155,4,LHS
2209,1.5138071525577184,4,LHS
2304,1.4305555555555556,4,LHS
2401,1.499375260308205,4,LHS
2500,1.6832,4,LHS
2601,1.4271434063821606,4,LHS
2704,1.4733727810650887,4,LHS
2809,1.5379138483446066,4,LHS
